key,entry_type,author,title,abstract,address,annote,booktitle,doi,editor,file,institution,isbn,issn,journal,keywords,language,month,note,number,pages,publisher,shorttitle,type,url,urldate,volume,year,use_case,technology,pubType,relevant,Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
syed_cnn-lstm_2023,misc,"Syed, Md Asif Bin and Ahmed, Imtiaz",A CNN-LSTM Architecture for Marine Vessel Track Association Using Automatic Identification System (AIS) Data,"In marine surveillance, distinguishing between normal and anomalous vessel movement patterns is critical for identifying potential threats in a timely manner. Once detected, it is important to monitor and track these vessels until a necessary intervention occurs. To achieve this, track association algorithms are used, which take sequential observations comprising geological and motion parameters of the vessels and associate them with respective vessels. The spatial and temporal variations inherent in these sequential observations make the association task challenging for traditional multi-object tracking algorithms. Additionally, the presence of overlapping tracks and missing data can further complicate the trajectory tracking process. To address these challenges, in this study, we approach this tracking task as a multivariate time series problem and introduce a 1D CNNLSTM architecture-based framework for track association. This special neural network architecture can capture the spatial patterns as well as the long-term temporal relations that exist among the sequential observations. During the training process, it learns and builds the trajectory for each of these underlying vessels. Once trained, the proposed framework takes the marine vessel’s location and motion data collected through the Automatic Identification System (AIS) as input and returns the most likely vessel track as output in real-time. To evaluate the performance of our approach, we utilize an AIS dataset containing observations from 327 vessels traveling in a specific geographic region. We measure the performance of our proposed framework using standard performance metrics such as accuracy, precision, recall, and F1 score. When compared with other competitive neural network architectures our approach demonstrates a superior tracking performance.",,"Comment: No results has been changed, Changed Figures, increased the resolution of the figures, changed slightly in the description in section 3.3.3",,,,2303.14068.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/literatur_axel/2303.14068.pdf:application/pdf,,,,,Computer Science - Machine Learning,en,jun,arXiv:2303.14068 [cs],,,arXiv,,,http://arxiv.org/abs/2303.14068,2023-06-18,,2023.0,Trajectory prediction/imputation,CNN-LSTM,article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pan_deep_2019,inproceedings,"Pan, Xingyu and Desbarats, Pascal and Chaumette, Serge",A Deep Learning based Framework for UAV Trajectory Pattern Recognition,"Recognizing the trajectory patterns of Unmanned Aerial Vehicles (UAV) allows to identify their missions also to detect abnormalities for intelligent supervision. To take advantage of the developments of deep learning on image classiﬁcation, we proposed a method that converts 3D trajectory data into 2D images and trains a deep network adapted to sketch-like images. We achieved a promising recognition rate of 99.5\% on the database of simulated UAV trajectory images.","Istanbul, Turkey",,"2019 {Ninth} {International} {Conference} on {Image} {Processing} {Theory}, {Tools} and {Applications} ({IPTA})",10.1109/IPTA.2019.8936099,,A_Deep_Learning_based_Framework_for_UAV_Trajectory_Pattern_Recognition.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/literatur_axel/A_Deep_Learning_based_Framework_for_UAV_Trajectory_Pattern_Recognition.pdf:application/pdf,,978-1-72813-975-3,,,,en,nov,,,1--6,IEEE,,,https://ieeexplore.ieee.org/document/8936099/,2023-06-18,,2019.0,(Sub)trajectory classification,CNN,article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hermes_graph-based_2022,inproceedings,"Hermes, Luca and Hammer, Barbara and Melnik, Andrew and Velioglu, Riza and Vieth, Markus and Schilling, Malte",A Graph-based U-Net Model for Predicting Traffic in unseen Cities,"Accurate trafﬁc prediction is a key ingredient to enable trafﬁc management like rerouting cars to reduce road congestion or regulating trafﬁc via dynamic speed limits to maintain a steady ﬂow. One way to represent trafﬁc data is as temporally changing heatmaps visualizing attributes of trafﬁc, such as speed and volume. In recent approaches, UNet models have shown state of the art performance on trafﬁc forecasting from such heatmaps. We propose to combine the U-Net architecture with graph layers which improves spatial generalization to unseen road networks compared to a Vanilla U-Net. In particular, we specialize existing graph operations to be sensitive to geographical topology and generalize pooling and upsampling operations to be applicable to graphs.","Padua, Italy",,2022 {International} {Joint} {Conference} on {Neural} {Networks} ({IJCNN}),10.1109/IJCNN55064.2022.9892453,,A_Graph-based_U-Net_Model_for_Predicting_Traffic_in_unseen_Cities.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/A_Graph-based_U-Net_Model_for_Predicting_Traffic_in_unseen_Cities.pdf:application/pdf,,978-1-72818-671-9,,,,en,jul,,,1--8,IEEE,,,https://ieeexplore.ieee.org/document/9892453/,2023-06-25,,2022.0,Traffic volume prediction,GNN,article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zheng_hybrid_2021,article,"Zheng, Haifeng and Lin, Feng and Feng, Xinxin and Chen, Youjia",A Hybrid Deep Learning Model With Attention-Based Conv-LSTM Networks for Short-Term Traffic Flow Prediction,"Accurate short-time trafﬁc ﬂow prediction has gained gradually increasing importance for trafﬁc plan and management with the deployment of intelligent transportation systems (ITSs). However, the existing approaches for short-term trafﬁc ﬂow prediction are unable to efﬁciently capture the complex nonlinearity of trafﬁc ﬂow, which provide unsatisfactory prediction accuracy. In this paper, we propose a deep learning based model which uses hybrid and multiple-layer architectures to automatically extract inherent features of trafﬁc ﬂow data. Firstly, built on the convolutional neural network (CNN) and the long short-term memory (LSTM) network, we develop an attention-based Conv-LSTM module to extract the spatial and short-term temporal features. The attention mechanism is properly designed to distinguish the importance of ﬂow sequences at different times by automatically assigning different weights. Secondly, to further explore long-term temporal features, we propose a bidirectional LSTM (Bi-LSTM) module to extract daily and weekly periodic features so as to capture variance tendency of the trafﬁc ﬂow from both previous and posterior directions. Finally, extensive experimental results are presented to show that the proposed model combining the attention Conv-LSTM and Bi-LSTM achieves better prediction performance compared with other existing approaches.",,,,10.1109/TITS.2020.2997352,,A_Hybrid_Deep_Learning_Model_With_Attention-Based_Conv-LSTM_Networks_for_Short-Term_Traffic_Flow_Prediction.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/A_Hybrid_Deep_Learning_Model_With_Attention-Based_Conv-LSTM_Networks_for_Short-Term_Traffic_Flow_Prediction.pdf:application/pdf,,,"1524-9050, 1558-0016",IEEE Transactions on Intelligent Transportation Systems,,en,nov,,11.0,6910--6920,,,,https://ieeexplore.ieee.org/document/9112272/,2023-06-25,22.0,2021.0,Traffic volume prediction,Attention-based LSTM,journal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chahal_hybrid_2023,article,"Chahal, Ayushi and Gulia, Preeti and Gill, Nasib Singh and Priyadarshini, Ishaani",A Hybrid Univariate Traffic Congestion Prediction Model for IoT-Enabled Smart City,"IoT devices collect time-series trafﬁc data, which is stochastic and complex in nature. Trafﬁc ﬂow prediction is a thorny task using this kind of data. A smart trafﬁc congestion prediction system is a need of sustainable and economical smart cities. An intelligent trafﬁc congestion prediction model using Seasonal Auto-Regressive Integrated Moving Average (SARIMA) and Bidirectional Long Short-Term Memory (Bi-LSTM) is presented in this study. The novelty of this model is that the proposed model is hybridized using a Back Propagation Neural Network (BPNN). Instead of traditionally presuming the relationship of forecasted results of the SARIMA and Bi-LSTM model as a linear relationship, this model uses BPNN to discover the unknown function to establish a relation between the forecasted values. This model uses SARIMA to handle linear components and Bi-LSTM to handle non-linear components of the Big IoT time-series dataset. The “CityPulse EU FP7 project” is a freely available dataset used in this study. This hybrid univariate model is compared with the single ARIMA, single LSTM, and existing trafﬁc prediction models using MAE, MSE, RMSE, and MAPE as evaluation indicators. This model provides the lowest values of MAE, MSE, RMSE, and MAPE as 0.499, 0.337, 0.58, and 0.03, respectively. The proposed model can help to predict the vehicle count on the road, which in turn, can enhance the quality of life for citizens living in smart cities.",,,,10.3390/info14050268,,information-14-00268-v2.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/information-14-00268-v2.pdf:application/pdf,,,2078-2489,Information,,en,apr,,5.0,268,,,,https://www.mdpi.com/2078-2489/14/5/268,2023-06-25,14.0,2023.0,Traffic volume prediction,Back Propagation Neural Network,article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sun_multi-channel_2022,misc,"Sun, Zhu and Lei, Yu and Zhang, Lu and Li, Chen and Ong, Yew-Soon and Zhang, Jie",A Multi-Channel Next POI Recommendation Framework with Multi-Granularity Check-in Signals,"Current study on next POI recommendation mainly explores user sequential transitions with the fine-grained individual-user POI check-in trajectories only, which suffers from the severe check-in data sparsity issue. In fact, coarse-grained signals (i.e., region- and global-level check-ins) in such sparse check-ins would also benefit to augment user preference learning. Specifically, our data analysis unveils that user movement exhibits noticeable patterns w.r.t. the regions of visited POIs. Meanwhile, the global all-user check-ins can help reflect sequential regularities shared by the crowd. We are, therefore, inspired to propose the MCMG: a Multi-Channel next POI recommendation framework with Multi-Granularity signals categorized from two orthogonal perspectives, i.e., fine-coarse grained check-ins at either POI/region level or local/global level. Being equipped with three modules (i.e., global user behavior encoder, local multi-channel encoder, and region-aware weighting strategy), MCMG is capable of capturing both fine- and coarse-grained sequential regularities as well as exploring the dynamic impact of multi-channel by differentiating the region check-in patterns. Extensive experiments on four real-world datasets show that our MCMG significantly outperforms state-of-the-art next POI recommendation approaches.",,,,,,2209.00472.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/2209.00472.pdf:application/pdf,,,,,Computer Science - Information Retrieval,en,sep,arXiv:2209.00472 [cs],,,arXiv,,,http://arxiv.org/abs/2209.00472,2023-06-25,,2022.0,Next location / final destination prediction,"graph convolutional network, attention layer",arxiv,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nguyen_multi-task_2018,inproceedings,"Nguyen, Duong and Vadaine, Rodolphe and Hajduch, Guillaume and Garello, René and Fablet, Ronan",A Multi-task Deep Learning Architecture for Maritime Surveillance using AIS Data Streams,"In a world of global trading, maritime safety, security and efﬁciency are crucial issues. We propose a multi-task deep learning framework for vessel monitoring using Automatic Identiﬁcation System (AIS) data streams. We combine recurrent neural networks with latent variable modeling and an embedding of AIS messages to a new representation space to jointly address key issues to be dealt with when considering AIS data streams: massive amount of streaming data, noisy data and irregular timesampling. We demonstrate the relevance of the proposed deep learning framework on real AIS datasets for a three-task setting, namely trajectory reconstruction, anomaly detection and vessel type identiﬁcation.",,Comment: Accepted to IEEE DSAA 2018,2018 {IEEE} 5th {International} {Conference} on {Data} {Science} and {Advanced} {Analytics} ({DSAA}),10.1109/DSAA.2018.00044,,1806.03972.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/literatur_axel/1806.03972.pdf:application/pdf,,,,,"Computer Science - Machine Learning, Computer Science - Computer Vision and Pattern Recognition, Statistics - Machine Learning",en,oct,"arXiv:1806.03972 [cs, stat]",,331--340,,,,http://arxiv.org/abs/1806.03972,2023-06-18,,2018.0,Anomaly detection; Trajectory prediction/imputation ,RNN,article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wang_spatial-temporal_2021,article,"Wang, Shuang and Li, AnLiang and Xie, Shuai and Li, WenZhu and Wang, BoWei and Yao, Shuai and Asif, Muhammad",A Spatial-Temporal Self-Attention Network (STSAN) for Location Prediction,"With the popularity of location-based social networks, location prediction has become an important task and has gained significant attention in recent years. However, how to use massive trajectory data and spatial-temporal context information effectively to mine the user’s mobility pattern and predict the users’ next location is still unresolved. In this paper, we propose a novel network named STSAN (spatial-temporal self-attention network), which can integrate spatial-temporal information with the self-attention for location prediction. In STSAN, we design a trajectory attention module to learn users’ dynamic trajectory representation, which includes three modules: location attention, which captures the location sequential transitions with self-attention; spatial attention, which captures user’s preference for geographic location; and temporal attention, which captures the user temporal activity preference. Finally, extensive experiments on four real-world check-ins datasets are designed to verify the effectiveness of our proposed method. Experimental results show that spatial-temporal information can effectively improve the performance of the model. Our method STSAN gains about 39.8\% Acc@1 and 4.4\% APR improvements against the strongest baseline on New York City dataset.",,,,10.1155/2021/6692313,"Xia, Min",6692313.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/6692313.pdf:application/pdf,,,"1099-0526, 1076-2787",Complexity,,en,apr,,,1--13,,,,https://www.hindawi.com/journals/complexity/2021/6692313/,2023-06-25,2021.0,2021.0,Next location / final destination prediction,LSTM,article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhang_spatiotemporal_2023,article,"Zhang, Linjie and Ma, Jianfeng",A Spatiotemporal Graph Wavelet Neural Network for Traffic Flow Prediction,"The traffic flow prediction is fast becoming a key instrument in the transportation system, which has achieved impressive performance for the traffic management. The graph neural network plays a critical role in the maintenance of development of the traffic network management. However, it is worthwhile mentioning that the complexity of road network and traffic conditions makes it unable to obtain sufficient spatiotemporal information. In view of capturing precise environment characteristics, the context could have a precise effect on the prediction results while previous methods rarely took this into account. Besides, the nonlinear characteristics of the graph neural network are hard to quantify with fine granularity and to eliminate overfitting. To stack these challenges, in this paper, we present spatiotemporal graph wavelet neural network, a novel hierarchical graph architecture to improve the ability of representations. Specifically, we introduce the wavelet transforms into the deep learning according to the strong nonlinear optimization ability. Furthermore, we dig the location and time patterns to evaluate the temporal dependence and the spatial proximity correlation. In addition, we introduce a historical context attention mechanism giving fine-grained historical context grade evaluation to ease the phenomenon of over-smoothing. The experimental results on real world datasets show that our work gets considerable results compared with the baseline and start of the art models. Moreover, our work has better learning performance by employing the connection and interaction of graph.",,,,10.1016/j.jiixd.2023.03.001,,1-s2.0-S2949715923000021-main.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/literatur_axel/1-s2.0-S2949715923000021-main.pdf:application/pdf,,,29497159,Journal of Information and Intelligence,,en,mar,,,S2949715923000021,,,,https://linkinghub.elsevier.com/retrieve/pii/S2949715923000021,2023-06-18,,2023.0,Traffic volume prediction,"LSTM, GCN, Wvelet NN",journal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qu_two-stage_2022,article,"Qu, Dayi and Chen, Kun and Wang, Shaojie and Wang, Qikun",A Two-Stage Decomposition-Reinforcement Learning Optimal Combined Short-Time Traffic Flow Prediction Model Considering Multiple Factors,"Accurate short-term trafﬁc ﬂow prediction is a prerequisite for achieving an intelligent transportation system to proactively alleviate trafﬁc congestion. Considering the complex and variable trafﬁc environment, so that the trafﬁc ﬂow contains a large number of non-linear characteristics, which makes it difﬁcult to improve the prediction accuracy, a combined prediction model that reduces the unsteadiness of trafﬁc ﬂow and fully extracts the trafﬁc ﬂow features is proposed. Firstly, decompose the trafﬁc ﬂow data into multiple components by the seasonal and trend decomposition using loess (STL); these components contain different features, and the optimized variational modal decomposition (VMD) is used for the second decomposition of the component with large ﬂuctuation frequencies, and then the components are reconstructed according to the fuzzy entropy and LempelZiv complexity index and the Pearson correlation coefﬁcient is used to ﬁlter the trafﬁc ﬂow features. Then light gradient boosting machine (LightGBM), long short-term memory with attention mechanism (LA), and kernel extreme learning machine with genetic algorithm optimization (GA-KELM) are built for prediction. Finally, we use reinforcement learning to integrate the advantages of each model, and the weights of each model are determined to obtain the best prediction results. The case study shows that the model established in this paper is better than other models in predicting urban road trafﬁc ﬂow, with an average absolute error of 2.622 and a root mean square error of 3.479, both of which are lower than the prediction errors of other models, indicating that the model can fully extract the features in complex trafﬁc ﬂow.",,,,10.3390/app12167978,,applsci-12-07978.pdf:/media/aweissen/ef6d006c-11d1-45ba-ad13-50a91575ccd91/projects/papers/anita/2022/data/applsci-12-07978.pdf:application/pdf,,,2076-3417,Applied Sciences,,en,aug,,16.0,7978,,,,https://www.mdpi.com/2076-3417/12/16/7978,2023-06-25,12.0,2022.0,Traffic volume prediction,"Attention-based LSTM, reinforcement learning",article,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
